title,desc
Technorati Beta Profile,"[<p id=""speakable-summary""><strong>Company:</strong> <a href=""http://beta.technorati.com"">Technorati</a> (Public Beta Redesign)</p>, <p><img alt="""" src=""/wp-content/technoratilogo.gif""/></p>, <p><strong>What is it? </strong></p>, <p>Technorati is Web 2.0 “old school”: one of the original (and best) real-time search engines. It requested customer feedback and has used it to launch an extensive redesign of their site as a public beta. The original site is still up at <a href=""http://www.technorati.com"">www.technorati.com</a> and the beta, for now, is at <a href=""http://beta.technorati.com"">beta.technorati.com</a>. Technorati claims to be indexing 800,000 + new posts daily, which is in line with competitor estimates of the size of the blogosphere.</p>, <p>Technorati helped to increase the popularity of leveraging blog site metadata by allowing tag (or category) searches in their engine. By searching via tags, users can find content specifically tagged by the publisher (for now) under certain categories.</p>, <p>The <a href=""http://www.technorati.com/live/top100.html"">Technorati 100</a> is the definitive list of popular bloggers on the web.</p>, <p>The new UI has several key upgrades:</p>, <p>– Simplified Interface<br/>
– RSS feeds for tag searches<br/>
– Tag searches return indexed results plus flickr, furl, delicious, and buzznet<br/>
– More homepage personalization â€“ including watchlists, claimed blogs and profile information<br/>
– New Watchlist functionality</p>, <p><strong>Screen Shots:</strong></p>, <p><img alt="""" src=""/wp-content/technorati1.jpg"" width=""100%""/></p>, <p>
<img alt="""" src=""/wp-content/technorati2.jpg"" width=""100%""/></p>, <p>
<img alt="""" src=""/wp-content/technorati3.jpg"" width=""100%""/></p>, <p><strong><a href=""http://www.technorati.com/about/leadership.html"">Management</a>:</strong></p>, <p>David L. Sifry -Founder and CEO<br/>
Adam Hertz – Vice President of Engineering<br/>
Joi Ito -Vice President of International Business and Mobile Devices<br/>
Teresa Malo – Chief Financial Officer<br/>
Richard Ault – Director of Product Marketing<br/>
Liz Westover – Director of Developer Relations<br/>
Tantek Ã‡elik – Senior Technologist</p>, <p><strong><a href=""http://www.technorati.com/about/leadership.html"">Board of Directors</a>:</strong></p>, <p>David L. Sifry<br/>
Kim Polese<br/>
Andreas Stavropoulous<br/>
Ryan McIntyre<br/>
Dan Beldy</p>, <p><strong>Relevant Links: </strong></p>, <p><a href=""http://www.technorati.com/about/"">About Technorati</a><br/>
<a href=""http://www.technorati.com/about/news.html"">Press </a><br/>
<a href=""http://www.sifry.com/alerts/archives/000314.html"">Dave Sifry (founder and CEO of Technorati) blog post on the beta release</a>
</p>]"
Technorati Beta Profile,"[<p id=""speakable-summary""><strong>Company:</strong> <a href=""http://beta.technorati.com"">Technorati</a> (Public Beta Redesign)</p>, <p><img alt="""" src=""/wp-content/technoratilogo.gif""/></p>, <p><strong>What is it? </strong></p>, <p>Technorati is Web 2.0 “old school”: one of the original (and best) real-time search engines. It requested customer feedback and has used it to launch an extensive redesign of their site as a public beta. The original site is still up at <a href=""http://www.technorati.com"">www.technorati.com</a> and the beta, for now, is at <a href=""http://beta.technorati.com"">beta.technorati.com</a>. Technorati claims to be indexing 800,000 + new posts daily, which is in line with competitor estimates of the size of the blogosphere.</p>, <p>Technorati helped to increase the popularity of leveraging blog site metadata by allowing tag (or category) searches in their engine. By searching via tags, users can find content specifically tagged by the publisher (for now) under certain categories.</p>, <p>The <a href=""http://www.technorati.com/live/top100.html"">Technorati 100</a> is the definitive list of popular bloggers on the web.</p>, <p>The new UI has several key upgrades:</p>, <p>– Simplified Interface<br/>
– RSS feeds for tag searches<br/>
– Tag searches return indexed results plus flickr, furl, delicious, and buzznet<br/>
– More homepage personalization â€“ including watchlists, claimed blogs and profile information<br/>
– New Watchlist functionality</p>, <p><strong>Screen Shots:</strong></p>, <p><img alt="""" src=""/wp-content/technorati1.jpg"" width=""100%""/></p>, <p>
<img alt="""" src=""/wp-content/technorati2.jpg"" width=""100%""/></p>, <p>
<img alt="""" src=""/wp-content/technorati3.jpg"" width=""100%""/></p>, <p><strong><a href=""http://www.technorati.com/about/leadership.html"">Management</a>:</strong></p>, <p>David L. Sifry -Founder and CEO<br/>
Adam Hertz – Vice President of Engineering<br/>
Joi Ito -Vice President of International Business and Mobile Devices<br/>
Teresa Malo – Chief Financial Officer<br/>
Richard Ault – Director of Product Marketing<br/>
Liz Westover – Director of Developer Relations<br/>
Tantek Ã‡elik – Senior Technologist</p>, <p><strong><a href=""http://www.technorati.com/about/leadership.html"">Board of Directors</a>:</strong></p>, <p>David L. Sifry<br/>
Kim Polese<br/>
Andreas Stavropoulous<br/>
Ryan McIntyre<br/>
Dan Beldy</p>, <p><strong>Relevant Links: </strong></p>, <p><a href=""http://www.technorati.com/about/"">About Technorati</a><br/>
<a href=""http://www.technorati.com/about/news.html"">Press </a><br/>
<a href=""http://www.sifry.com/alerts/archives/000314.html"">Dave Sifry (founder and CEO of Technorati) blog post on the beta release</a>
</p>]"
"The New Datastream Aggregators, FriendFeed and Standards","[<p id=""speakable-summary""><a href=""http://www.friendfeed.com"">FriendFeed</a> is an example of a new type of aggregator where multiple data types, or streams, for a user can be bought together. The difference between this new type of aggregator and the standard RSS feed-reader type of aggregator is that the later does a good job of supporting a set of formats that are almost standard, while the new aggregators such as FriendFeed are building in app-specific support.</p>, <p>The disadvantages of this model are that only the selected applications can participate in the aggregator and network, a disadvantage to smaller providers and a position that would only cement the place of the more popular services. In addition, service-specific API support would not scale very well, as every API update and nuance would have to be tracked, maintained and debugged.</p>, <p>A very important issue is how feed and data types should be standardized to allow all application providers to participate in aggregator ecosystems such as FriendFeed, rather than just the 41 selected and supported.</p>, <p><a href=""http://www.crunchbase.com/company/friendfeed""><img class=""shot"" src=""http://www.beta.techcrunch.com/wp-content/uploads/2008/06/friendfeed.jpg"" style=""float:left;""/></a></p>, <p>The 41 services provided are just feeds, be it plain descriptive XML or RSS or Atom or some variation thereof, they are effectively feeds of varying data types. They can be easily broken down into the different categories and hence data types – such as link feeds, content feeds, image feeds, event feeds etc. etc. Currently each application API developer implements what they feel is a good format for an API (and often poorly) and it is often very different to what similar applications provide.</p>, <p>With generic feed standards, either through the use of Microformats or the use of defined namespace extensions, it would level the field so that any application or service can participate rather than those that are popular amongst the digerati. Imagine if the earliest news feed readers only supported a set of 41 sites? So you wouldn’t even be able to subscribe to your own blog, let alone the blog of a friend or colleague.</p>, <p>For some reason, outside of content feeds (blog RSS feeds), the other formats have developed in a sporadic and non-standard manner. The standardization of feeds around data types has almost reached a point of becoming an urgent priority, as the mechanisms that previously worked well in defining standard formats broke down with the new types of shared media.</p>, <p>FriendFeed recognize the problems and have commited to supporting the Media RSS standards, but Bret from FriendFeed also said that opening up the aggregator could result in more noise and spam which would drive away users. I believe that the problem may be overstated, and a subscription-based model effectively results in pure, chosen content.</p>, <p>Either way, the next messaging or photo sharing application being built should be able to build an API based on a standard spec for each data type. While there are plenty of new standard format efforts (and new efforts seem to launch every other day), there hasn’t been a best practice decision made by the key influencers (eg. FriendFeed – a bigger stream aggregator) and developers to force the issue.</p>, <p>This could be solved by a large-scale web services proxy, but it would be better if format proxying was only an interim solution.</p>]"
SproutCore: The New Javascript Rich Internet Platform,"[<p id=""speakable-summary"">Steve Gillmor and I met with Peter and <a href=""http://www.okito.net/"">Charles</a> of <a href=""http://www.sproutcore.com/"">SproutCore</a>, the open source javascript framework for web application development. The platform has recently attracted a lot of attention as it was revealed that it powered the <a href=""http://www.apple.com/mobileme/"">Apple Mobile Me</a> web application demos from this years <a href=""developer.apple.com/wwdc/ "">WWDC keynote</a>.</p>, <p><a href=""http://qik.com/player.swf?streamname=435d1dc44f374d19933fc6fae02fbff4&amp;vid=108030&amp;playback=false&amp;polling=false&amp;user=stevegillmor&amp;userlock=true&amp;islive=&amp;username=anonymous"">http://qik.com/player.swf?streamname=435d1dc44f374d19933fc6fae02fbff4&amp;vid=108030&amp;playback=false&amp;polling=false&amp;user=stevegillmor&amp;userlock=true&amp;islive=&amp;username=anonymous</a></p>, <p>SproutCore was developed during the development of a new version of their <a href=""http://www.sproutit.com"">SproutIT</a> product, a support desk email management product. Development commenced in early 2007, and was a response to the lack of a complete and full Javascript development platform. Most browser Javascript developers make use of multiple libraries to accomplish simple interface and computing tasks, while SproutCore aims to provide a complete platform more akin to Flash or Silverlight.</p>, <p>SproutCore has been designed and implemented so that the interfaces and libraries are similar to the Cocoa development platform used on Mac OS X. This was a decision made by the developers as they believed that not only is Cocoa a well-designed platform, but that in developing a web application platform in the same way, it would open the doors of web application development to many traditional Mac desktop app developers.</p>]"
Piczo Announces Itself to the UK,"[<p id=""speakable-summary""><a href=""http://www.piczo.com""><img class=""right"" src=""http://static.flickr.com/62/223580052_3f849b882e_o.jpg""/></a>Social networking site <a href=""http://www.piczo.com"">Piczo</a>, is on a UK press tour this week and is releasing some interesting statistics on its worldwide and UK-based usage.</p>, <p>Piczo was founded in early 2004 as a paid service. Based on early user feedback it was relaunched as a free service, and founder Jim Conning sent out 100 emails to Canadian teenagers announcing the new site. That is where Piczo’s marketing efforts began and, until now, ended. The result of those 100 emails has been a massive viral spread of the product…today Piczo has 10 million monthly unique visitors that generate about 2.5 billion page views. According to Comscore, <strong>59% of the UK teen Internet audience visited Piczo in June 2006.</strong></p>, <p>Piczo is a Myspace or Bebo type social network, but targets a significantly younger demographic – 75% of Piczo users are between 13 and 16 years old. And unlike Myspace, Piczo is focused on safety first. It is virtually impossible to browse user pages on Piczo. There is no search or browse feature. Users must share their page URL with others for it to be found, and there are numerous ways for users, parents and others to report inappropriate behavior. Piczo has full time staff reviewing all complaints and takes swift action to protect its members.</p>, <p><img class=""left"" src=""http://static.flickr.com/83/223580050_82e45940b5_o.jpg""/>CEO Jeremy Verba says Piczo is “like a house party, where you invite your friends over and listen to music,” whereas “Myspace is more like a club…it’s for an older crowd, and you can’t necessarily control who they let in”. It’s an apt description, and visitors to the site definitely see a much tamer, less chaotic atmosphere compared to the other social networks.</p>, <p>Piczo is well funded after pocketing a total of US$7 million over two rounds of financing from <a href=""http://www.sierraventures.com/"">Sierra Ventures</a> and <a href=""http://www.catamountventures.com/"">Catamount</a> in 2005 and 2006. At this point, the company is looking to aggresively expand its international userbase and increase revenues.</p>, <p>Piczo is the fifth largest social network after Myspace, Facebook, Bebo and Tagged based on U.S. Comscore data, but boasts being the largest UK teen site and the third largest UK community site overall.</p>, <p>As part of the press tour, Piczo is also announcing that they will hire a UK based management team to manage operations here.</p>]"
FeedLounge Profile,"[<p id=""speakable-summary""><strong>Company:</strong> <a href=""http://www.feedlounge.com"">FeedLounge</a></p>, <p><img alt="""" src=""/wp-content/feedlounge.gif""/><br/>
<strong><br/>
What is it?</strong></p>, <p>The FeedLounge web-based RSS reader <a href=""http://feedlounge.com/blog/2005/06/09/alpha/"">alpha</a> was announced on June 9, 2005.  Feedlounge is the newest entrant into the increasingly crowded RSS Reader space. Feedlounge is web-based, like <a href=""http://www.bloglines.com"">Bloglines</a>, <a href=""http://www.pluck.com/"">Pluck</a>, <a href=""http://kinja.com/"">Kinja</a> and <a href=""http://www.rojo.com"">Rojo</a>, and has tagging (both feeds and posts), saving items indefinitely, and flagging items.</p>, <p>Scott Sanders, one of the founders, writes in his <a href=""http://dotnot.org/blog/archives/2005/06/09/feedlounge-alpha-announced/"">blog</a> that he created FeedLounge as a web-based application because he works from many different machines. Their goal was to create a thin-client-like experience, and the early alpha testers are coming back with <a href=""http://dougal.gunters.org/blog/2005/06/10/feedlounge"">very positive reviews</a>:</p>, <p>FeedLounge often feels much more like a desktop application than a web page. Clever combinations of Ajax and CSS add a ton of “hey wow” moments when using the system. As with Alex’s other works, the user interface is clean and easy to navigate.”</p>, <p><strong>Key Features:</strong></p>, <p>–	choice of layouts<br/>
–	useful keyboard shortcuts<br/>
–	OPML import support (export support later)<br/>
–	Tagging (both of feeds and posts)<br/>
–	Works only with Firefox, by design (a plus in TechCrunchâ€™s view)</p>, <p><strong>Screen Shots:</strong></p>, <p><img alt="""" src=""/wp-content/home_screenshot_1.gif""/><br/>
<img alt="""" src=""/wp-content/home_screenshot_4.gif""/><br/>
<img alt="""" src=""/wp-content/home_screenshot_7.gif""/><br/>
<strong><br/>
Management:</strong></p>, <p>Alex King<br/>
Scott Sanders</p>, <p><strong>Relevant Links:</strong></p>, <p><a href=""http://feedlounge.com/about/"">About FeedLounge</a><br/>
<a href=""http://feedlounge.com/blog/"">FeedLounge Blog</a><br/>
<a href=""http://dougal.gunters.org/blog/2005/06/10/feedlounge"">Dougal Campbell Review of FeedLounge</a><br/>
<a href=""http://blogs.chron.com/techblog/archives/2005/06/new_web-based_r.html"">TechBlog Post on FeedLounge</a><br/>
<a href=""http://www.alexking.org/blog/2005/06/09/feedlounge/"">Alex King Blog</a><br/>
<a href=""http://dotnot.org/blog/archives/2005/06/09/feedlounge-alpha-announced/"">Scott Sanders Blog</a><br/>
<a href=""http://allrss.com/rssreaderswebbased.html"">List of web-based RSS Readers</a></p>]"
Plazes Profile,"[<p id=""speakable-summary""><strong>Company:</strong> <a href=""http://beta.plazes.com/"">Plazes</a></p>, <p><img alt="""" src=""./wp-content/plazeslogo.gif""/></p>, <p><strong>What is it?</strong></p>, <p>Plazes made an announcement at <a href=""http://reboot.dk/reboot7/show/HomePage"">Reboot 7.0</a> in Copenhagen on June 10, 2005, although the service has been around since at least January.</p>, <p>In their own words, <em>“Plazes is the first global location-aware interaction and geo-information system, connecting you with the people and Plazes in your area and all over the world.  It is the navigation system for your social life and it’s absolutely free.”</em></p>, <p>To gain full functionality, you must install a 1.11 mb file on your computer. I did this, and it had trouble syncing with my router. I’m not surprised, since my internet connection is down and I am currently “borrowing” wifi from one of my neighbors. Anyway, I was able to logon and create my very own <a href=""http://beta.plazes.com/plaze/6642e9a18d025fa18736d06513e1316e/"">plaze in Manhattan Beach, California</a> (see the third screen shot below).</p>, <p>This is a very useful application, and I can see using it to find friends and meet new people. The design is well thought out and the social networking tools are as good as we’ve seen.</p>, <p>As <a href=""http://blog.plazes.de/"">their blog</a> indicates, the product is still in beta mode and functionality is being added continuously.</p>, <p><strong>Service Features:</strong></p>, <p>– Discover Plazes anywhere in the world – like hotspots, restaurants, offices,  based on search or your current location.</p>, <p>– Hook up with people nearby – see people (and their “metadata”) who are online and near a “plaze”. Message with them.</p>, <p>– Stay in touch with your friends – Plazes has social networking tools like invite, messaging, status, karma etc. Friends can see your currentl location (or keep yourself invisible)</p>, <p><strong>Screen Shots:</strong></p>, <p><img alt="""" src=""/wp-content/plazes1061105.gif""/><br/>
<img alt="""" src=""/wp-content/plazes2061105.gif""/><br/>
<img alt="""" src=""/wp-content/plazes3061105.gif""/></p>, <p><strong>People Involved:</strong></p>, <p><a href=""http://www.actioncontents.com/"">Felix Petersen</a><br/>
“<a href=""http://no-information.de/"">Stefan</a>”</p>, <p><strong>Relevant Links:</strong></p>, <p><a href=""http://beta.plazes.com/info/whatis/"">What’s Plazes?</a><br/>
<a href=""http://beta.plazes.com/info/faq/"">Plazes FAQs</a><br/>
<a href=""http://blog.plazes.de/"">Plazes Blog</a><br/>
<a href=""http://www.actioncontents.com/"">Felix Petersen Blog</a><br/>
<a href=""http://www.equisto.co.uk/perl/store/store.pl?store_id=plazes_by_tim"">Plazes Merchandise</a> :-)<br/>
<a href=""http://radio.weblogs.com/0001011/2005/06/11.html#a10350"">Robert Scoble on Plazes<br/>
</a><a href=""http://christian-heindel.de/projects/plazes/"">Christian Heindel on Plazes</a></p>]"
BackPack Profile,"[<p id=""speakable-summary""><strong>Company:</strong> <a href=""http://www.backpackit.com"">BackPack</a></p>, <p><img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/backpacklogo.gif""/></p>, <p><strong>What is it?</strong></p>, <p>BackPack launched in early May 2005, and it is one of the defining web 2.0 applications.</p>, <p>BackPack does one thing very, very well – organize your personal information online. It has a basic package that is free, and it is one of the first applications built on <a href=""http://www.adaptivepath.com/publications/essays/archives/000385.php"">AJAX</a> and <a href=""http://www.rubyonrails.org/"">Ruby on Rails</a>. If you aren’t familiar with these development platforms, all you need to know is that data transfers and page updates occur without submitting and refreshing, it is lightning fast and there are NO client downloads to deal with. BackPack is a perfect use of these emerging development technologies. To understand how this technology kicks web 1.0 in the pants, just compare it to Microsoft’s <a href=""http://www.microsoft.com/office/onenote/prodinfo/default.mspx"">One Note</a> (which I used for about 10 minutes before never opening again).</p>, <p>At its core BackPack is an information management tool. It is one of the showcase applications created by <a href=""http://www.37signals.com/"">37 Signals</a>, along with <a href=""http://www.basecamphq.com/"">Basecamp </a>(“Project Management Utopia”) and <a href=""http://www.tadalist.com/"">Ta-Da Lists</a> (“Make Lists and Get Stuff Done”).</p>, <p>In their own words, <em>“â€œWe call it useful” Some have called Backpack “a wiki with out the wacky.” Others have called it “blogish.” Others have said it’s a project management tool for all the little things in your life. Some say it’s a application that helps you get things done. Some have called it Basecamp’s little brother. Call it what you will. We call it useful and hope you do too.<br/>
Last but most: Clear, Simple, and Fast. At the heart of Backpack is simplicity and clarity. Things work the way you’d expect them to work. Everything complex has been tossed so the tool is simple to the core. In fact, nothing takes more than a few seconds. Our “Ajaxed” interface elements eliminate reloading hassles. Backpack gives you the benefit of the web (centralized access, no install, no IT nightmares) without the downsides of the web (reloads, slowdowns, poor interfaces). Information management on the web has finally been realized. Backpack it.ï¿½?</em></p>, <p>There are a number of suggested uses, with screenshots <a href=""http://www.backpackit.com/examples/#a000149"">here</a> . In our opinion, the key uses are to create pages of to do lists, planning for trips or events, taking and updating notes on products, etc. The great thing about it is how easy it is to create a new page, and add text and files, including images. You can share those pages with friends or the whole world. After you create pages, you can group them in any way you think is appropriate. There are no mandatory fields, complex multi-step processes, or specialized “buckets” for data.</p>, <p><strong>Pricing: </strong>A basic account is free. Upgraded accounts have a monthly fee of $5, $9, or $19 (see the last screen shot below) (more $ = more storage and more reminders). You need at least the $5/month option to get some file storage space.</p>, <p><strong>Features:</strong></p>, <p>– Home page to easily manage all sub-pages<br/>
– Easy to make new pages<br/>
– Easy to add content to a page â€“ links, notes, files, images, etc.<br/>
– Set reminder feature, with reminders via email, sms or RSS<br/>
– Tagging of pages<br/>
– Sharing of pages (public or just friends)<br/>
– email pages<br/>
– email data to a page (like posting a picture to <a href=""http://www.flickr.com"">flickr</a> with a cameraphone)</p>, <p><strong>Screen Shots:</strong></p>, <p><img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/backpack1061205.gif""/><br/>
<img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/backpack3061205.gif""/><br/>
<img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/backpack4061205.gif""/><br/>
<img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/backpack5061205.gif""/></p>, <p><strong>Relevant Links:</strong></p>, <p><a href=""http://www.backpackit.com/weblog/"">BackPack Blog</a><br/>
<a href=""http://jf.backpackit.com/pub/872"">Reviews of BackPack</a> (on a BackPack page!)<br/>
<a href=""http://www.gigaom.com/2005/04/30/backpack-tuesday/"">Om Malik on BackPack</a><br/>
<a href=""http://www.37signals.com/svn/"">37 signals â€œsignal v. noise blog”</a><br/>
<a href=""http://iaslash.org/node/7667?PHPSESSID=79f4f63174f90fa2c53a178377102f41"">Blog Launch Post </a><br/>
<a href=""http://searchviews.com/archives/2005/05/backpack_latest.php"">SearchViews Post</a></p>]"
Google Reviews Profile,"[<p id=""speakable-summary""><strong>Company: </strong><a href=""http://www.google.com/reviews?cid=ba601666fe1a2e79&amp;oi=showtimes&amp;fq=star+wars"">Google (Reviews)</a></p>, <p><img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/googlelogo.gif""/></p>, <p><strong>What is it?</strong></p>, <p>There’s not much on the web about this yet, but Google is apparently looking at the reviews space and has put a very light experiment up on their site. I say “light” because the only product reviews they have up as of today are for Star Wars III.</p>, <p>It looks like the first post on Google Reviews was by <a href=""http://photomatt.net/2005/05/09/google-reviews/"">Photo Matt</a> in a post dated May 9, 2005.  <a href=""http://marc.blogs.it/"">Marc Canter</a> spoke up today on the subject <a href=""http://marc.blogs.it/archives/2005/06/a_list_of_links.html"">here</a>.</p>, <p>Reviews are a very interesting space. People use their blogs often to review books, movies, music, restaurants, and just about everything else out there that we interact with. It’s an obvious area to aggregate and network.</p>, <p><a href=""http://bobwyman.pubsub.com/main/"">Bob Wyman</a> (see also <a href=""http://structuredblogging.org/"">structuredblogging</a>) (the CTO of <a href=""http://www.pubsub.com/"">PubSub</a>), has created a structured blogging plugin for WordPress for reviews (and also events) that is excellent and that I use at my <a href=""http://www.arrington.us/?p=195"">personal blog</a>. And there is also the <a href=""http://microformats.org/wiki/hreview"">hReviews</a> initiative. Finally, there is a rudimentary blog review aggregator at <a href=""http://blogcritics.org/"">blogcritics.org</a>.</p>, <p>Anyway, it is what it is and the space is worth watching. A lot of Google’s moves seem to be placing it squarely in the middle of web 2.0.</p>, <p><strong>Screen Shot:</strong></p>, <p><img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/googlereviews060510.gif""/></p>, <p>Relevant Links:</p>, <p><a href=""http://www.sivas.com/aleene/microcontent/index.php?id=P1977"">RDF Reviews Post</a><br/>
<a href=""http://microformats.org/wiki/hreview"">hReviews</a></p>]"
Gataga Profile,"[<p id=""speakable-summary""><strong>Company:</strong> <a href=""http://www.gataga.com"">Gataga</a></p>, <p>&lt;img src='https://beta.techcrunch.com/wp-content/uploads/2005/07/gatagalogo.gif' alt='' /</p>, <p><strong></strong>What is it?</p>, <p>Gataga is a social bookmarking search engine. As of today, it indexes bookmarks from <a href=""http://del.icio.us/"">del.icio.us</a>, <a href=""http://www.blogmarks.net/"">blogmarks</a>, <a href=""http://www.blinklist.com/"">blinklist</a>, <a href=""http://www.jots.com/"">jots</a>, <a href=""http://www.spurl.net/"">spurl</a>, <a href=""http://www.furl.net/"">furl</a>,<a href=""http://www.simpy.com/""> simpy</a> and <a href=""http://www.connotea.org/"">connotea</a>. They added furl, simpy, spurl and connotea literally overnight at the request of <a href=""http://tagsonomy.com/"">Alexandra Samuel at You’re It!</a>. Alexandra also suggested RSS feeds for search results, and they have added those today as well.</p>, <p>There is a “Sherpa” option that acts like the “I’m Feeling Lucky” button at Google. It needs some work to become useful – although typing in “techcrunch” and hitting the Sherpa button brough us right to where we wanted to go.</p>, <p>Searches can be made by keywords or tags (both shown below). The fact that they are including most tagging data sources as well as the search result RSS feeds make this a compelling and useful site if you are interested in searching through socially-tagged URIs.  We will use it regularly.</p>, <p><strong>Screen Shots:</strong></p>, <p><img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/gataga1061305.gif""/><br/>
<img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/gataga2061305.gif""/><br/>
<img alt="""" src=""https://beta.techcrunch.com/wp-content/uploads/2005/06/gataga3061305.gif""/></p>, <p><strong>Relevantl Links:</strong></p>, <p><a href=""http://tagsonomy.com/index.php/new-social-bookmarking-search-engine-gataga/"">You’re It! Post #1</a><br/>
<a href=""http://tagsonomy.com/index.php/gataga-new-improved/"">You’re It! Post #2</a><br/>
<a href=""http://radio.weblogs.com/0001011/2005/06/13.html#a10373"">Scoble on Gataga</a><br/>
<a href=""http://www.mostlymuppet.com/archives/2005/06/13/gataga/"">MostlyMuppet on Gataga</a></p>]"
